"date","mileage","fuel","price"
"2014-04-24","133062.3","12.168","4.059"
"2014-04-29","133353.9","11.288","3.959"
"2014-05-02","133483.9","6.132","3.799"
"2014-05-08","133800.7","14.231","3.619"
"2014-05-17","134144.2","13.464","3.899"
"2014-05-30","134444.0","13.340","4.499"
"2014-06-15","134751.0","13.196","3.169"
"2014-06-20","135060.0","14.010","3.569"
"2014-06-29","135367.0","12.328","4.059"
"2014-07-06","135685.0","14.023","4.279"
"2014-07-14","136028.0","13.135","3.959"
"2014-07-20","136353.0","13.495","3.409"
"2014-08-09","136650.0","12.774","3.649"
"2014-09-02","136964.0","14.820","3.849"
"2014-09-14","137201.0","10.950","3.379"
"2014-09-21","137490.0","12.146","3.429"
"2014-10-07","137744.0","10.899","3.349"
"2014-10-14","137985.0","10.859","3.499"
"2014-10-24","138329.0","14.881","3.259"
"2014-11-01","138524.0","8.231","3.189"
"2014-11-07","138743.0","9.939","3.049"
